"ID","INVENTARIO_ID","FECHA_VENC","LOTE","CANTIDAD",,,,,,
227,1000280,2021-04-06,20210406,45,,,,,,
228,1000281,2021-04-07,20210407,100,,,,,,
229,1000282,2021-04-08,20210408,200,,,,,,
230,1000283,2021-04-09,20210409,74,,,,,,
231,1000284,2021-04-10,20210410,0,,,,,,
232,1000285,2021-04-11,20210411,30,,,,,,
233,1000286,2021-04-12,20210412,270,,,,,,
234,1000287,2021-04-13,20210413,153,,,,,,
235,1000288,2021-04-14,20210414,0,,,,,,
236,1000289,2021-04-15,20210415,300,,,,,,
237,1000290,2021-04-16,20210416,0,,,,,,
238,1000291,2021-04-17,20210417,123,,,,,,
239,1000292,2021-04-18,20210418,0,,,,,,
240,1000293,2021-04-19,20210419,100,,,,,,
241,1000294,2021-04-20,20210420,200,,,,,,
242,1000295,2021-04-21,20210421,45,,,,,,
243,1000296,2021-04-22,20210422,60,,,,,,
244,1000297,2021-04-23,20210423,53,,,,,,
245,1000298,2021-04-24,20210424,1,,,,,,
246,1000299,2021-04-25,20210425,14,,,,,,
247,10002100,2021-04-26,20210426,114,,,,,,
248,10002101,2021-04-27,20210427,0,,,,,,
249,10002102,2021-04-28,20210428,0,,,,,,
250,10002103,2021-04-29,20210429,0,,,,,,
251,10002104,2021-04-30,20210430,300,,,,,,
252,10002105,2021-05-01,20210501,50,,,,,,
253,10002106,2021-05-02,20210502,0,,,,,,
254,10002107,2021-05-03,20210503,100,,,,,,
255,10002108,2021-05-04,20210504,0,,,,,,
256,10002109,2021-05-05,20210505,0,,,,,,
257,10002110,2021-05-06,20210506,8,,,,,,
258,10002111,2021-05-07,20210507,5,,,,,,
259,10002112,2021-05-08,20210508,6,,,,,,
260,10002113,2021-05-09,20210509,0,,,,,,
261,10002114,2021-05-10,20210510,0,,,,,,
262,10002115,2021-05-11,20210511,6,,,,,,
263,10002116,2021-05-12,20210512,0,,,,,,
264,10002117,2021-05-13,20210513,539,,,,,,
265,10002118,2021-05-14,20210514,0,,,,,,
266,10002119,2021-05-15,20210515,0,,,,,,
267,10002120,2021-05-16,20210516,50,,,,,,
268,10002121,2021-05-17,20210517,15,,,,,,
269,10002122,2021-05-18,20210518,98,,,,,,
270,10002123,2021-05-19,20210519,230,,,,,,
271,10002124,2021-05-20,20210520,255,,,,,,
272,10002125,2021-05-21,20210521,1925,,,,,,
273,10002126,2021-05-22,20210522,20,,,,,,
274,10002127,2021-05-23,20210523,0,,,,,,
275,10002128,2021-05-24,20210524,35,,,,,,
276,10002129,2021-05-25,20210525,0,,,,,,
277,10002130,2021-05-26,20210526,0,,,,,,
278,10002131,2021-05-27,20210527,500,,,,,,
279,100031,2021-05-28,20210528,0,,,,,,
280,100032,2021-05-29,20210529,0,,,,,,
281,100033,2021-05-30,20210530,58,,,,,,
282,100034,2021-05-31,20210531,0,,,,,,
283,100035,2021-06-01,20210601,0,,,,,,
284,100036,2021-06-02,20210602,0,,,,,,
285,100037,2021-06-03,20210603,18,,,,,,
286,100038,2021-06-04,20210604,131,,,,,,
